,k,alpha,beta,score
0,15,0.01,0.01,-4.0047439153604065
1,15,0.01,0.31,-4.035484691501906
2,15,0.01,0.61,-4.076603927362765
3,15,0.01,0.9099999999999999,-4.181261333438702
4,15,0.01,,-3.9943589856174513
5,15,0.31,0.01,-4.287831474688337
6,15,0.31,0.31,-4.323700334094474
7,15,0.31,0.61,-4.4176903343100955
8,15,0.31,0.9099999999999999,-4.519470682822028
9,15,0.31,,-4.3180192456049005
10,15,0.61,0.01,-4.33968501458602
11,15,0.61,0.31,-4.353019894954038
12,15,0.61,0.61,-4.378899838819238
13,15,0.61,0.9099999999999999,-4.521465736756949
14,15,0.61,,-4.331581770251689
15,15,0.9099999999999999,0.01,-3.881258273451707
16,15,0.9099999999999999,0.31,-3.960130235579136
17,15,0.9099999999999999,0.61,-4.068684067939725
18,15,0.9099999999999999,0.9099999999999999,-4.094607768937751
19,15,0.9099999999999999,,-3.9445977963708656
20,15,,0.01,-4.014519388996951
21,15,,0.31,-4.049193710778278
22,15,,0.61,-4.121231274100505
23,15,,0.9099999999999999,-4.261351859977149
24,15,,,-4.013345817363179
25,14,0.01,0.01,-3.934866751604346
26,14,0.01,0.31,-3.9954839730183505
27,14,0.01,0.61,-3.9909695295131082
28,14,0.01,0.9099999999999999,-4.089299068680115
29,14,0.01,,-3.920825491838211
30,14,0.31,0.01,-4.249773529323449
31,14,0.31,0.31,-4.243983804653212
32,14,0.31,0.61,-4.242537427346765
33,14,0.31,0.9099999999999999,-4.330768793874809
34,14,0.31,,-4.226221240149235
35,14,0.61,0.01,-4.174599278609284
36,14,0.61,0.31,-4.1776567036487116
37,14,0.61,0.61,-4.309212415989981
38,14,0.61,0.9099999999999999,-4.312843270568623
39,14,0.61,,-4.203242380402017
40,14,0.9099999999999999,0.01,-3.852652911383693
41,14,0.9099999999999999,0.31,-3.9828955320676798
42,14,0.9099999999999999,0.61,-3.9739244051993525
43,14,0.9099999999999999,0.9099999999999999,-4.0261998347885
44,14,0.9099999999999999,,-3.8793334118572553
45,14,,0.01,-3.9358017442150253
46,14,,0.31,-4.025603201803606
47,14,,0.61,-3.9775370578874405
48,14,,0.9099999999999999,-4.087136500982805
49,14,,,-3.9588981931343343
50,13,0.01,0.01,-3.825391401235742
51,13,0.01,0.31,-3.8462692636231557
52,13,0.01,0.61,-3.8575500598385144
53,13,0.01,0.9099999999999999,-3.885223153832668
54,13,0.01,,-3.8438366144969027
55,13,0.31,0.01,-4.132983162383543
56,13,0.31,0.31,-4.137455528809181
57,13,0.31,0.61,-4.164191478560646
58,13,0.31,0.9099999999999999,-4.2019550004050075
59,13,0.31,,-4.129725957043377
60,13,0.61,0.01,-4.175963727476835
61,13,0.61,0.31,-4.142722859358229
62,13,0.61,0.61,-4.265595645468469
63,13,0.61,0.9099999999999999,-4.360424855043058
64,13,0.61,,-4.162002370528907
65,13,0.9099999999999999,0.01,-3.9370783683970965
66,13,0.9099999999999999,0.31,-3.9745097489097416
67,13,0.9099999999999999,0.61,-3.9069117254913484
68,13,0.9099999999999999,0.9099999999999999,-4.004249613912607
69,13,0.9099999999999999,,-3.952663856534489
70,13,,0.01,-3.79865645069644
71,13,,0.31,-3.8445370158990424
72,13,,0.61,-3.928385014985271
73,13,,0.9099999999999999,-3.9516500792458573
74,13,,,-3.832087233444711
75,12,0.01,0.01,-3.832023790244016
76,12,0.01,0.31,-3.7824210960524356
77,12,0.01,0.61,-3.7962898676017836
78,12,0.01,0.9099999999999999,-3.825319497560047
79,12,0.01,,-3.743582218020538
80,12,0.31,0.01,-4.012051861640721
81,12,0.31,0.31,-4.088106598135509
82,12,0.31,0.61,-4.106842131923648
83,12,0.31,0.9099999999999999,-4.12584068445218
84,12,0.31,,-4.006794509693413
85,12,0.61,0.01,-4.091754734206708
86,12,0.61,0.31,-4.079011039263519
87,12,0.61,0.61,-4.165260480477447
88,12,0.61,0.9099999999999999,-4.2843982128890925
89,12,0.61,,-4.087822969133302
90,12,0.9099999999999999,0.01,-3.9022139941926666
91,12,0.9099999999999999,0.31,-3.9363154229287445
92,12,0.9099999999999999,0.61,-3.936327902640139
93,12,0.9099999999999999,0.9099999999999999,-3.8906201948563233
94,12,0.9099999999999999,,-3.9668098306306816
95,12,,0.01,-3.885262290261369
96,12,,0.31,-3.9248468093947135
97,12,,0.61,-3.893840655569767
98,12,,0.9099999999999999,-3.9420046581703385
99,12,,,-3.876536589193226
100,11,0.01,0.01,-3.7219651622719683
101,11,0.01,0.31,-3.7598137814213706
102,11,0.01,0.61,-3.7245913447677763
103,11,0.01,0.9099999999999999,-3.812353395738642
104,11,0.01,,-3.7450757096523426
105,11,0.31,0.01,-3.983728939518622
106,11,0.31,0.31,-3.984196626782503
107,11,0.31,0.61,-3.9789631837958215
108,11,0.31,0.9099999999999999,-4.0041335595044805
109,11,0.31,,-3.9706034850899217
110,11,0.61,0.01,-4.086846399961944
111,11,0.61,0.31,-4.118227131440845
112,11,0.61,0.61,-4.139794325643003
113,11,0.61,0.9099999999999999,-4.17317050381432
114,11,0.61,,-4.08607614510983
115,11,0.9099999999999999,0.01,-3.941839497330607
116,11,0.9099999999999999,0.31,-3.9385601928512
117,11,0.9099999999999999,0.61,-3.9168074941366986
118,11,0.9099999999999999,0.9099999999999999,-3.9098848678349
119,11,0.9099999999999999,,-3.9657187709255286
120,11,,0.01,-3.758704087583005
121,11,,0.31,-3.750437726838345
122,11,,0.61,-3.858241317541535
123,11,,0.9099999999999999,-3.8493658913574467
124,11,,,-3.7405932375399082
125,10,0.01,0.01,-3.770140067519246
126,10,0.01,0.31,-3.729710618496548
127,10,0.01,0.61,-3.7200712008129444
128,10,0.01,0.9099999999999999,-3.690172744352052
129,10,0.01,,-3.8066503675409304
130,10,0.31,0.01,-3.9099214046640283
131,10,0.31,0.31,-3.9079708822192467
132,10,0.31,0.61,-3.917839753554945
133,10,0.31,0.9099999999999999,-3.972932164756857
134,10,0.31,,-3.857403776373512
135,10,0.61,0.01,-4.076211542581357
136,10,0.61,0.31,-4.070651778505597
137,10,0.61,0.61,-4.069973209562399
138,10,0.61,0.9099999999999999,-4.130680179683206
139,10,0.61,,-4.011381385032447
140,10,0.9099999999999999,0.01,-3.8678104134221787
141,10,0.9099999999999999,0.31,-3.9233556418907987
142,10,0.9099999999999999,0.61,-3.891021595347615
143,10,0.9099999999999999,0.9099999999999999,-3.868195418274528
144,10,0.9099999999999999,,-3.901684040467201
145,10,,0.01,-3.7788400746772517
146,10,,0.31,-3.758408361638803
147,10,,0.61,-3.8293590350913678
148,10,,0.9099999999999999,-3.849099677245602
149,10,,,-3.8069941785901453
150,9,0.01,0.01,-3.6841325919503087
151,9,0.01,0.31,-3.65899040974958
152,9,0.01,0.61,-3.6494810209704562
153,9,0.01,0.9099999999999999,-3.6494691730544764
154,9,0.01,,-3.669661125353414
155,9,0.31,0.01,-3.8567956669765424
156,9,0.31,0.31,-3.8224512652418845
157,9,0.31,0.61,-3.8191417951482327
158,9,0.31,0.9099999999999999,-3.8956664109915353
159,9,0.31,,-3.8658358226327603
160,9,0.61,0.01,-3.9866112777126
161,9,0.61,0.31,-4.0284309413563735
162,9,0.61,0.61,-4.059146877750234
163,9,0.61,0.9099999999999999,-4.088936252914175
164,9,0.61,,-4.014372316179218
165,9,0.9099999999999999,0.01,-3.7724511654365913
166,9,0.9099999999999999,0.31,-3.916562493990851
167,9,0.9099999999999999,0.61,-3.9234511406729804
168,9,0.9099999999999999,0.9099999999999999,-3.919896111932085
169,9,0.9099999999999999,,-3.931779959343201
170,9,,0.01,-3.74849176399038
171,9,,0.31,-3.7193114217970593
172,9,,0.61,-3.767537791973533
173,9,,0.9099999999999999,-3.7887060445058887
174,9,,,-3.7780811047663114
175,8,0.01,0.01,-3.566908664507369
176,8,0.01,0.31,-3.592616942416039
177,8,0.01,0.61,-3.5978475830823875
178,8,0.01,0.9099999999999999,-3.5612838226850076
179,8,0.01,,-3.5777870262440197
180,8,0.31,0.01,-3.7379276341556564
181,8,0.31,0.31,-3.7925371725009205
182,8,0.31,0.61,-3.7914352005391616
183,8,0.31,0.9099999999999999,-3.8161633119921334
184,8,0.31,,-3.774851396820546
185,8,0.61,0.01,-3.9740690377229813
186,8,0.61,0.31,-3.9812166746498217
187,8,0.61,0.61,-3.947644779740857
188,8,0.61,0.9099999999999999,-3.934108265138269
189,8,0.61,,-3.9559726899274645
190,8,0.9099999999999999,0.01,-3.8085453826538243
191,8,0.9099999999999999,0.31,-3.905537743502485
192,8,0.9099999999999999,0.61,-3.863117202113102
193,8,0.9099999999999999,0.9099999999999999,-3.8815626279808133
194,8,0.9099999999999999,,-3.8340425448008704
195,8,,0.01,-3.683090882991435
196,8,,0.31,-3.681815290367865
197,8,,0.61,-3.6274223789119384
198,8,,0.9099999999999999,-3.6617835449868483
199,8,,,-3.6918007673541995
200,7,0.01,0.01,-3.448244204625829
201,7,0.01,0.31,-3.495598507161443
202,7,0.01,0.61,-3.4513475645360905
203,7,0.01,0.9099999999999999,-3.4769274531819043
204,7,0.01,,-3.4728292006059185
205,7,0.31,0.01,-3.639650094241766
206,7,0.31,0.31,-3.5955616031952085
207,7,0.31,0.61,-3.6402611033504857
208,7,0.31,0.9099999999999999,-3.606909919027134
209,7,0.31,,-3.587183731667115
210,7,0.61,0.01,-3.7978802780056413
211,7,0.61,0.31,-3.7913612742890677
212,7,0.61,0.61,-3.7725030549876575
213,7,0.61,0.9099999999999999,-3.7886363013883373
214,7,0.61,,-3.7962675199907374
215,7,0.9099999999999999,0.01,-3.7601843564495963
216,7,0.9099999999999999,0.31,-3.7402015381486624
217,7,0.9099999999999999,0.61,-3.748285473917741
218,7,0.9099999999999999,0.9099999999999999,-3.701402114947632
219,7,0.9099999999999999,,-3.738279338757861
220,7,,0.01,-3.5018624641612797
221,7,,0.31,-3.516186890230795
222,7,,0.61,-3.5153790498861475
223,7,,0.9099999999999999,-3.526464368367146
224,7,,,-3.4968051863741816
