k,alpha,beta,workers,coherence
13,0.01,0.01,4,0.5390341640473361
13,0.01,0.31,4,0.5418577258559009
13,0.01,0.61,4,0.6006113448291771
13,0.01,0.9099999999999999,4,0.5422962025400736
13,0.01,symmetric,4,0.547653698227222
13,0.31,0.01,4,0.5685338933444024
13,0.31,0.31,4,0.5488362547931516
13,0.31,0.61,4,0.5795749582219272
13,0.31,0.9099999999999999,4,0.5866072013511435
13,0.31,symmetric,4,0.5707475984657795
13,0.61,0.01,4,0.5716928496856465
13,0.61,0.31,4,0.5554833180385201
13,0.61,0.61,4,0.5535548339885625
13,0.61,0.9099999999999999,4,0.55797930674169
13,0.61,symmetric,4,0.5629002405093484
13,0.9099999999999999,0.01,4,0.5560184936844869
13,0.9099999999999999,0.31,4,0.546843098251157
13,0.9099999999999999,0.61,4,0.537503292351917
13,0.9099999999999999,0.9099999999999999,4,0.5201254248242259
13,0.9099999999999999,symmetric,4,0.5584276528051922
13,symmetric,0.01,4,0.53500411052763
13,symmetric,0.31,4,0.5397672435469135
13,symmetric,0.61,4,0.5831591612123888
13,symmetric,0.9099999999999999,4,0.5371264691549699
13,symmetric,symmetric,4,0.5360715429066027
13,asymmetric,0.01,4,0.5566643774040787
13,asymmetric,0.31,4,0.5774454060091705
13,asymmetric,0.61,4,0.5893059936331484
13,asymmetric,0.9099999999999999,4,0.522460167185675
13,asymmetric,symmetric,4,0.53251684236146
12,0.01,0.01,4,0.570780546347923
12,0.01,0.31,4,0.5154741619101711
12,0.01,0.61,4,0.5753249171771401
12,0.01,0.9099999999999999,4,0.4856470583188977
12,0.01,symmetric,4,0.5486514000903252
12,0.31,0.01,4,0.5713749055045321
12,0.31,0.31,4,0.5622478228273918
12,0.31,0.61,4,0.5712150592413122
12,0.31,0.9099999999999999,4,0.5942676151561209
12,0.31,symmetric,4,0.5537476812193665
12,0.61,0.01,4,0.5693087276060126
12,0.61,0.31,4,0.5638268653522208
12,0.61,0.61,4,0.5722390242896515
12,0.61,0.9099999999999999,4,0.5400423918947755
12,0.61,symmetric,4,0.5642301282016058
12,0.9099999999999999,0.01,4,0.5734349863159892
12,0.9099999999999999,0.31,4,0.5729826440062561
12,0.9099999999999999,0.61,4,0.557628075004859
12,0.9099999999999999,0.9099999999999999,4,0.546175679095047
12,0.9099999999999999,symmetric,4,0.5731417649409046
12,symmetric,0.01,4,0.5743270741819979
12,symmetric,0.31,4,0.5680321036858456
12,symmetric,0.61,4,0.5930564669931827
12,symmetric,0.9099999999999999,4,0.5231128563664331
12,symmetric,symmetric,4,0.5685038470166688
12,asymmetric,0.01,4,0.5598782984460225
12,asymmetric,0.31,4,0.5923591233278224
12,asymmetric,0.61,4,0.5712085836192057
12,asymmetric,0.9099999999999999,4,0.516292571117044
12,asymmetric,symmetric,4,0.5411068130060446
11,0.01,0.01,4,0.5538990141154043
11,0.01,0.31,4,0.5813440019158446
11,0.01,0.61,4,0.55722120583657
11,0.01,0.9099999999999999,4,0.5578801207085612
11,0.01,symmetric,4,0.563330759155765
11,0.31,0.01,4,0.5760073636963439
11,0.31,0.31,4,0.5699475671432503
11,0.31,0.61,4,0.5477448438487834
11,0.31,0.9099999999999999,4,0.579832885797165
11,0.31,symmetric,4,0.5650234146391377
11,0.61,0.01,4,0.5664577014585211
11,0.61,0.31,4,0.5748658231168965
11,0.61,0.61,4,0.5769447546159839
11,0.61,0.9099999999999999,4,0.5463205254060004
11,0.61,symmetric,4,0.5678991457166629
11,0.9099999999999999,0.01,4,0.5818887762467747
11,0.9099999999999999,0.31,4,0.5745493540606026
11,0.9099999999999999,0.61,4,0.5670060669888636
11,0.9099999999999999,0.9099999999999999,4,0.5538269010282483
11,0.9099999999999999,symmetric,4,0.5836707526923504
11,symmetric,0.01,4,0.5503388636252518
11,symmetric,0.31,4,0.5941028521706584
11,symmetric,0.61,4,0.5940848004967676
11,symmetric,0.9099999999999999,4,0.554886658115366
11,symmetric,symmetric,4,0.5717904551856356
11,asymmetric,0.01,4,0.5578510443248648
11,asymmetric,0.31,4,0.5499061111955855
11,asymmetric,0.61,4,0.5688267597053742
11,asymmetric,0.9099999999999999,4,0.4997032688983491
11,asymmetric,symmetric,4,0.5711449712928628
10,0.01,0.01,4,0.5905066569160955
10,0.01,0.31,4,0.5610872683642435
10,0.01,0.61,4,0.5071570193697835
10,0.01,0.9099999999999999,4,0.5104680872266469
10,0.01,symmetric,4,0.5861162787894121
10,0.31,0.01,4,0.5924944244976926
10,0.31,0.31,4,0.5831460000191082
10,0.31,0.61,4,0.5555323732448872
10,0.31,0.9099999999999999,4,0.5546242518619289
10,0.31,symmetric,4,0.5966763008688518
10,0.61,0.01,4,0.5773077313580971
10,0.61,0.31,4,0.5746259969564205
10,0.61,0.61,4,0.5817735010270304
10,0.61,0.9099999999999999,4,0.5139262295229661
10,0.61,symmetric,4,0.5764964247646344
10,0.9099999999999999,0.01,4,0.5786202378755059
10,0.9099999999999999,0.31,4,0.5757277270674497
10,0.9099999999999999,0.61,4,0.5671744594276529
10,0.9099999999999999,0.9099999999999999,4,0.5519434866683095
10,0.9099999999999999,symmetric,4,0.5747391767567598
10,symmetric,0.01,4,0.577714833112117
10,symmetric,0.31,4,0.5589291405066702
10,symmetric,0.61,4,0.5728067678878969
10,symmetric,0.9099999999999999,4,0.4990920097727078
10,symmetric,symmetric,4,0.5834867504447224
10,asymmetric,0.01,4,0.624038367683563
10,asymmetric,0.31,4,0.5793504784313647
10,asymmetric,0.61,4,0.5500468733388898
10,asymmetric,0.9099999999999999,4,0.4787561066495045
10,asymmetric,symmetric,4,0.6040300377748405
9,0.01,0.01,4,0.5620244866443507
9,0.01,0.31,4,0.6003978582175594
9,0.01,0.61,4,0.5568208117277641
9,0.01,0.9099999999999999,4,0.5418781187241073
9,0.01,symmetric,4,0.5755161196122693
9,0.31,0.01,4,0.5914724638296689
9,0.31,0.31,4,0.572195653282651
9,0.31,0.61,4,0.5658088046341431
9,0.31,0.9099999999999999,4,0.6164286082694619
9,0.31,symmetric,4,0.5963861978296809
9,0.61,0.01,4,0.5805436387729377
9,0.61,0.31,4,0.570648577531931
9,0.61,0.61,4,0.5850532615370347
9,0.61,0.9099999999999999,4,0.5576364080833689
9,0.61,symmetric,4,0.5790212645381781
9,0.9099999999999999,0.01,4,0.5682838947539691
9,0.9099999999999999,0.31,4,0.571769042747855
9,0.9099999999999999,0.61,4,0.5643102211511454
9,0.9099999999999999,0.9099999999999999,4,0.5599878161626086
9,0.9099999999999999,symmetric,4,0.5641111757103835
9,symmetric,0.01,4,0.5775299675423423
9,symmetric,0.31,4,0.5960435390583882
9,symmetric,0.61,4,0.5705448822456449
9,symmetric,0.9099999999999999,4,0.5391819792338265
9,symmetric,symmetric,4,0.5644129070258191
9,asymmetric,0.01,4,0.5882184447108544
9,asymmetric,0.31,4,0.5742867908586734
9,asymmetric,0.61,4,0.5799673013466131
9,asymmetric,0.9099999999999999,4,0.5487300420346535
9,asymmetric,symmetric,4,0.5509644404261884
8,0.01,0.01,4,0.5985204196341198
8,0.01,0.31,4,0.5861046121774978
8,0.01,0.61,4,0.6043538632065006
8,0.01,0.9099999999999999,4,0.5678227786772563
8,0.01,symmetric,4,0.5903459150141851
8,0.31,0.01,4,0.6020310912594192
8,0.31,0.31,4,0.567209433032209
8,0.31,0.61,4,0.6232792993761641
8,0.31,0.9099999999999999,4,0.591997587323877
8,0.31,symmetric,4,0.6000786732762349
8,0.61,0.01,4,0.557147089693559
8,0.61,0.31,4,0.5791711505619379
8,0.61,0.61,4,0.590166516565681
8,0.61,0.9099999999999999,4,0.5514775303447372
8,0.61,symmetric,4,0.5646784502986717
8,0.9099999999999999,0.01,4,0.5576157980150391
8,0.9099999999999999,0.31,4,0.5753258665267142
8,0.9099999999999999,0.61,4,0.5777117363000335
8,0.9099999999999999,0.9099999999999999,4,0.5615499231139657
8,0.9099999999999999,symmetric,4,0.5710246642534222
8,symmetric,0.01,4,0.6082201477871207
8,symmetric,0.31,4,0.5749796485432603
8,symmetric,0.61,4,0.6184151109356675
8,symmetric,0.9099999999999999,4,0.5705219292519939
8,symmetric,symmetric,4,0.5953707807196676
8,asymmetric,0.01,4,0.5925094891539027
8,asymmetric,0.31,4,0.5736065385263445
8,asymmetric,0.61,4,0.6037790802538854
8,asymmetric,0.9099999999999999,4,0.5458004724609377
8,asymmetric,symmetric,4,0.5945446668929875
